artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
Barnett Newman,1955,abstract,15530,6911,9201912,wikiart,Color Field Painting,Uriel,train_only,TRUE,102257.jpg
Barnett Newman,1950,abstract,14559,6866,8867532,wikiart,Color Field Painting,Vir Heroicus Sublimis,train_only,TRUE,75232.jpg
Tosa Mitsuoki,,mythological painting,25528,3000,10496349,wikiart,Yamato-e,Night March of a Hundred Demons (left half),train_only,TRUE,29855.jpg
Barnett Newman,,abstract,7345,8640,6383948,wikiart,Color Field Painting,"Who’s Afraid of Red,  Yellow and Blue II",train_only,TRUE,62252.jpg
Barnett Newman,1963,abstract,6049,8206,1135960,wikiart,Color Field Painting,Black Fire I ,train_only,TRUE,63861.jpg
Hiroshige,1844,bird-and-flower painting,5492,8283,10736273,wikiart,Ukiyo-e,Camellia and Bush Warbler,train_and_test,TRUE,53180.jpg
Wolfgang Paalen,1937,landscape,5331,8351,1407667,wikiart,Surrealism,Forbidden Land ,train_only,TRUE,70944.jpg
Mabuse,,religious painting,5259,8400,1489790,wikiart,Northern Renaissance,Descent from the cross,train_only,TRUE,59792.jpg
Utagawa Kunisada,,landscape,9293,4688,10274760,wikiart,Ukiyo-e,Snowy landscape with a woman brandishing a broom and a man holding an umbrella,train_only,TRUE,48138.jpg
Ivan Aivazovsky,1873,marina,7444,5811,3189597,wikiart,Romanticism,Storm at sea,train_and_test,TRUE,99442.jpg
Hiroshige,,bird-and-flower painting,4154,9051,5964682,wikiart,Ukiyo-e,Hydrangea and Kingfisher,train_and_test,TRUE,23508.jpg
Hieronymus Bosch,1515,religious painting,8533,4325,6675952,wikiart,Northern Renaissance,The Garden of Earthly Delights ,train_and_test,TRUE,82352.jpg
Hiroshige,1850,bird-and-flower painting,4045,8999,5930496,wikiart,Ukiyo-e,"Moon, Swallows and Peach Blossoms",train_and_test,TRUE,27254.jpg
Hiroshige,1838,bird-and-flower painting,4128,8586,5981663,wikiart,Ukiyo-e,Sparrows and Camellias in the Snow,train_and_test,TRUE,47145.jpg
Barnett Newman,1952,abstract,3609,9541,2837664,wikiart,Color Field Painting,Ulysses,train_only,TRUE,59145.jpg
Jan van Eyck,1439,religious painting,4000,8311,28783029,wikiart,Northern Renaissance,The Madonna in the Church,train_and_test,TRUE,16876.jpg
Julius LeBlanc Stewart,1896,genre painting,6980,4724,2484194,wikiart,Realism,Yachting in the Mediterranean,train_only,TRUE,28908.jpg
Ferdinand Georg Waldmüller,1824,still life,6192,4912,5842081,wikiart,Biedermeier,Fruit Still Life with an Amazon parrot ,train_and_test,TRUE,48177.jpg
Gustave Dore,1866,religious painting,4915,6068,29811319,wikiart,Romanticism,Death of Eleazer,train_and_test,TRUE,7486.jpg
Gustave Dore,,religious painting,4770,6219,32443139,wikiart,Romanticism,The-Deluge,train_and_test,TRUE,35766.jpg
Clara Peeters,1612,still life,4913,6007,8684895,wikiart,Baroque,Still Life with Flowers and Gold Cups of Honor,train_only,TRUE,28363.jpg
Hiroshige,1835,animal painting,3666,7880,8074136,wikiart,Ukiyo-e,Crane in Waves,train_and_test,TRUE,71024.jpg
Diego Velazquez,c.1645,self-portrait,4841,5947,8157404,wikiart,Baroque,Self-portrait,train_and_test,TRUE,70728.jpg
Lyonel Feininger,1936,cityscape,4630,5892,7583680,wikiart,Cubism,Gelmeroda XIII ,train_only,TRUE,71435.jpg
Gerrit Dou,1635,self-portrait,4531,6005,5851544,wikiart,Baroque,Self Portrait ,train_and_test,TRUE,59486.jpg
Lucas Cranach the Elder,1534,allegorical painting,4344,6240,11276229,wikiart,Northern Renaissance,Charity,train_and_test,TRUE,77921.jpg
Lyonel Feininger,1924,cityscape,4550,5920,7383862,wikiart,Cubism,Barfuesserkirche I ,train_only,TRUE,63416.jpg
